NAME_OBL,NAME_RAY,NAME_LAT,KOATUU_OBL,KOATUU_RAY,KOATUU,longitude,latitude
Donetska,Mariupolska,Sartana,1400000000,1412300000,1412365300,37.691,47.176
Luhanska,Lutuhynskyi,Rozkishne,4400000000,4422200000,4422286601,39.276,48.490
Luhanska,Lutuhynskyi,Bile,4400000000,4422200000,4422255300,39.053,48.498
Luhanska,Perevalskyi,Mius,4400000000,4423600000,4423657402,38.548,48.291
Luhanska,Slovianoserbskyi,Orikhove-Donetske,4400000000,4424500000,4424584403,38.803,48.770
Luhanska,Slovianoserbskyi,Lopaskyne,4400000000,4424500000,4424555104,39.033,48.668
Luhanska,Slovianoserbskyi,Lobacheve,4400000000,4424500000,4424582204,39.116,48.661
Donetska,Volnovaskyi,Bakhchovyk,1400000000,1421500000,1424855301,37.683,47.477
Donetska,Volnovaskyi,Vodiane,1400000000,1421500000,1423683002,37.785,47.149
Donetska,Volnovaskyi,Kamianka,1400000000,1421500000,1424884803,37.697,47.420
Donetska,Volnovaskyi,Zaporizke,1400000000,1421500000,1424884802,37.653,47.380
Donetska,Volnovaskyi,Starohnativka,1400000000,1421500000,1424886601,37.780,47.541
Donetska,Volnovaskyi,Andriivka,1400000000,1421500000,1424855300,37.656,47.461
Donetska,Volnovaskyi,Druzhne,1400000000,1421500000,1424855302,37.628,47.442
Donetska,Volnovaskyi,Hranitne,1400000000,1421500000,1424880501,37.864,47.458
Donetska,Volnovaskyi,Kalynivka,1400000000,1421500000,1423683502,37.667,47.147
Donetska,Volnovaskyi,Obilne,1400000000,1421500000,1424855303,37.721,47.453
Donetska,Volnovaskyi,Malovodne,1400000000,1421500000,1424884804,37.677,47.370
Donetska,Volnovaskyi,Berdianske,1400000000,1421500000,1423688802,37.784,47.090
Donetska,Volnovaskyi,Fedorivka,1400000000,1421500000,1424881203,37.720,47.359
Donetska,Volnovaskyi,Lebedynske,1400000000,1421500000,1423683501,37.752,47.127
Donetska,Volnovaskyi,Pyshchevyk,1400000000,1421500000,1423684402,37.792,47.241
Donetska,Volnovaskyi,Chermalyk,1400000000,1421500000,1424881201,37.806,47.316
Donetska,Volnovaskyi,Chernenko,1400000000,1421500000,1423684403,37.747,47.226
Donetska,Volnovaskyi,Novoselivka,1400000000,1421500000,1424884801,37.733,47.403
Donetska,Volnovaskyi,Novoselivka Druha,1400000000,1421500000,1424884805,37.758,47.382
Donetska,Volnovaskyi,Staromarivka,1400000000,1421500000,1424880502,37.874,47.436
Donetska,Volnovaskyi,Orlovske,1400000000,1421500000,1424881202,37.745,47.261
Donetska,Volnovaskyi,Novohryhorivka,1400000000,1421500000,1424886602,37.829,47.502
Donetska,Volnovaskyi,Kominternove,1400000000,1421500000,1423683001,37.814,47.174
Donetska,Volnovaskyi,Stepanivka,1400000000,1421500000,1424884806,37.635,47.366
Donetska,Volnovaskyi,Myrne,1400000000,1421500000,1424855600,37.732,47.426
Donetska,Volnovaskyi,Pavlopil,1400000000,1421500000,1423684401,37.781,47.263
Donetska,Volnovaskyi,Shyrokyne,1400000000,1421500000,1423688801,37.818,47.099
Donetska,Volnovaskyi,Sopyne,1400000000,1421500000,1423683503,37.758,47.090
Donetska,Volnovaskyi,Zaichenko,1400000000,1421500000,1423683004,37.863,47.183
