NAME_LAT,KOATUU_RAY,longitude,latitude,KOATUU
Sartana,1412300000,37.691,47.176,1412365300
Rozkishne,4422200000,39.276,48.49,4422286601
Bile,4422200000,39.053,48.498,4422255300
Mius,4423600000,38.548,48.291,4423657402
Orikhove-Donetske,4424500000,38.803,48.77,4424584403
Lopaskyne,4424500000,39.033,48.668,4424555104
Lobacheve,4424500000,39.116,48.661,4424582204
Bakhchovyk,1421500000,37.683,47.477,1424855301
Vodiane,1421500000,37.785,47.149,1423683002
Kamianka,1421500000,37.697,47.42,1424884803
Zaporizke,1421500000,37.653,47.38,1424884802
Starohnativka,1421500000,37.78,47.541,1424886601
Andriivka,1421500000,37.656,47.461,1424855300
Druzhne,1421500000,37.628,47.442,1424855302
Hranitne,1421500000,37.864,47.458,1424880501
Kalynivka,1421500000,37.667,47.147,1423683502
Obilne,1421500000,37.721,47.453,1424855303
Malovodne,1421500000,37.677,47.37,1424884804
Berdianske,1421500000,37.784,47.09,1423688802
Fedorivka,1421500000,37.72,47.359,1424881203
Lebedynske,1421500000,37.752,47.127,1423683501
Pyshchevyk,1421500000,37.792,47.241,1423684402
Chermalyk,1421500000,37.806,47.316,1424881201
Chernenko,1421500000,37.747,47.226,1423684403
Novoselivka,1421500000,37.733,47.403,1424884801
Novoselivka Druha,1421500000,37.758,47.382,1424884805
Staromarivka,1421500000,37.874,47.436,1424880502
Orlovske,1421500000,37.745,47.261,1424881202
Novohryhorivka,1421500000,37.829,47.502,1424886602
Kominternove,1421500000,37.814,47.174,1423683001
Stepanivka,1421500000,37.635,47.366,1424884806
Myrne,1421500000,37.732,47.426,1424855600
Pavlopil,1421500000,37.781,47.263,1423684401
Shyrokyne,1421500000,37.818,47.099,1423688801
Sopyne,1421500000,37.758,47.09,1423683503
Zaichenko,1421500000,37.863,47.183,1423683004
Kriakivka,4424500000,38.89,48.769,4424584402
Krymske,4424500000,38.807,48.748,4424583301
Bulavynske,1420900000,38.342,48.25,1412045600
Ridkodub,1420900000,38.521,48.268,1412047609
Savelivka,1420900000,38.343,48.29,1412070509
Komuna,1420900000,38.375,48.329,1420985201
Vesela Dolyna,1420900000,38.43,48.211,1412047601
Olkhovatka,1420900000,38.392,48.24,1412047600
Oleksandrivske,1420900000,38.284,48.274,1412045300
Olenivka,1420900000,38.257,48.264,1412047400
