DATE_REFERAL,OBLAST,RAION,SETTLEMENTS,ADMIN1,ADMIN2,ADMIN4,INFORMANT,REFERRAL_AGENCY,GCA_NGCA,ALERT_TYPE,CONFLICT_RELATED,NEED_TYPE,DESCRIPTION,CONTEXT,AFFECTED,NO_AFFECTED,SOURCE_INFO,CLUSTER,RESPONSE_PARTNER,CONFIRMATION,ACTION,NO_BENEFICIARIES,STATUS,DATE_UPDATE,GAP_BENEFICIARIES,UNCOVERED_NEEDS,ADDITIONAL_INFO_LINK,COMMENTS,latitude,longitude
2016-01-13,Donetska,Marinskyi,Krasnohorivka_1423310400,1400000000,1423300000,1423310400," "," ",GCA,"Support Request"," ","Access to shelter","Secondary school require repairs: the roof remains uncovered, doors and windows broken.","On June 3, as a result of shelling the roof of the comprehensive secondary school (I-II levels) #3 in the town of Krasnohorivka got damaged (the blast wave also broke all the doors and windows, there were direct hits' marks on the walls). According to the school representative, the parents managed to repair the walls by themselves, but still the roof remains uncovered, doors and windows broken.",Community,5,"UN Office for High Commissioner of Human Rights Human Rights Monitoring Mission to Ukraine","Emergency Shelter/NFI","United Nations OCHA",Yes,"Shelter materials for light repairs delivered",0,resolved,2016-02-20,5," "," "," ",48.00922549,37.50105079
2016-02-02,Donetska,Volnovaskyi,Rivnopil_1421586801,1400000000,1421500000,1421586801," "," ",GCA,"Need Overview"," ","Access to water","Village with no drinking water. Need of delivery or fixing water station.","The village Ravnopil, to the West of Volnovakha, (not in ""grey zone"") is struggling with no drinking water, according to ""Ya Volnovakha"" NGO. The water pumps provide water, but for technical use only. Before the confrontation, the majority of inhabitants were employed at commercial egg plant, which supplied water to the village. As of now the plant is closed. Many IDPs live in Ravlopil. Drinking water is sporadically delivered to Ravnopil from Vilne by Ukrainian Frontiers. ",Community,4,"United Nations OCHA","Water Sanitation Hygiene","United Nations OCHA",No,"Agency was on scoping mission",0,"Addressed but unresolved",2016-02-02,4," "," "," ",47.55493711,37.23367412
2016-02-08,Donetska,Mariupolska,Mariupol_1412300000,1400000000,1412300000,1412300000," "," ",GCA,"Support Request"," ","Access to humanitarian assistance","Legal assistance for detaineeNFI: hygenic kit with towel, winter clothes: winter shoes for outside and inside, warm trousers (jogging trousers, leggings), warm pullover, warm winter jackets, hats, scarfs, gloves","Two RF citizens, who are detainees in Mariupol, SIZO, are in need of legal assitance hygine items and clothes (also to wear inside the SIZO)",Individuals,2,"OSCE Special Monitoring Mission","Protection, Emergency Shelter/NFI","United Nations OCHA",Yes,"Requested items delivered",0,resolved,2016-02-28,2," "," "," ",47.1259,37.5614
2016-02-17,Donetska,Mariupolska,Mariupol_1412300000,1400000000,1412300000,1412300000," "," ",GCA,"Need Overview"," ","Access to health services","Need of delivery of psychological care in Mariupol both to IDPs and local CAP","Social Services Center in Mariupol outlined needs to advance the delivery of psychological care in Mariupol both to IDPs and local CAP:\n- Setting up an office for psychological assistance for individual and group consultations in Illichivskyi raion (village Staryj Krym)\n- Operating mobile groups in villages Prymorske and Pionerske\n- Materials for art therapy for children (sand, polymer clay, oil pastel etc.)\n- Materials for puppet therapy (puppet show)\n- Regular supervision of psychologists\n- Regular psychological care for elderly\n- Training for delivery of Mediation and Family therapy \n- Training for delivery of school mediation therapy\n- Qualification based training for school and medical psychologists\n- Training of psychologists to work with conflict-affected people",Community,100,"Service of social support (NGO)","Protection, Health/Nutrition","United Nations OCHA",No," ",0,"Not addressed",2016-02-17,100," "," "," ",47.1259,37.5614
2016-02-17,Donetska,Mariupolska,Mariupol_1412300000,1400000000,1412300000,1412300000," "," ",GCA,"Need Overview"," ","Access to health services","Needs for delivery of psychiatric care to IDPs","Needs for delivery of psychiatric care to IDPs and conflict-affected people in Mariupol:\n- Qualification based training for school and medical psychologists\n- Increase the number of mental specialists for children in Mariupol \n- Rehabilitation for physically challenged children in Prymorskyy and Illichevskyy raions\n- Extension of diseases list for appointment of physically challenged children to the rehabilitation centers",Community,55,"Service of social support (NGO)","Protection, Health/Nutrition","United Nations OCHA",No," ",0,"Not addressed",2016-02-17,55," "," "," ",47.1259,37.5614
2016-02-22,Donetska,Mariupolska,Mariupol_1412300000,1400000000,1412300000,1412300000," "," ",GCA,"Need Overview"," ","Access to health services","Medical equipment (provide/repair)","The Mariupol complex HIV diagnostics laboratory is the only institution of this kind operational in Donetsk region.  It provides the laboratory testing for people in the city of Mariupol, Ugledar, Kurakhovo, Velykonovosilivskyi, Volnovaskyi, Volodarskyi, Mariinskyi and Peshotravnevyj raions in Mariupol (GCA), including the penitentiary institutions.",Community,6,"United Nations OCHA",Health/Nutrition,"United Nations OCHA",Yes,"Equipment is being procured but not yet delivered",0,"Addressed but unresolved",2016-03-22,6," "," "," ",47.1259,37.5614
2016-03-04,Donetska,Volnovaskyi,Novohryhorivka,1400000000,1421500000,1424886602," "," ",GCA,"Support Request",No,"Access to shelter","Construction materials (3 conrete plates) request to for road to village of Novohryhorivka.","The road connecting Starohnativka and Novohryhorivka was blocked by AFU, so that the access of humanitarian aid as well as freedom of movement for the locals was impeded. According to the CIMIC Mariupol, AFU can only provide with vehicles, fuel and manpower, while an open-pit mine factory nearby is to provide the gravel. At the moment there is a need in 3 concrete plates to cover the bottom of a stream running through the field.\n",Community,8,"United Nations OCHA","Emergency Shelter/NFI","United Nations OCHA",No," ",0,"Not addressed",2016-03-04,8," "," "," ",47.502,37.829
2016-03-04,Donetska,Marinskyi,Marinka_1423310100,1400000000,1423300000,1423310100," "," ",GCA,"Support Request"," ","Access to shelter","Coal/wood: Vulnerable elderly in Mariinka are in need of fuel materials, either coal or wood briquettes. The list includes vulnerable people, mainly of 1930-50 years of birth, physically challenged and with chronic diseases. ","The access of humanitarian aid into the city is satisfactory. As we were informed by the city authorities, people mentioned in the list are those who did not fit under the criteria of the current winterization programs run by partners or those who need additional resources. \n",Community,8,"United Nations OCHA","Emergency Shelter/NFI","United Nations OCHA",Yes," ",0,"Not addressed",2016-03-04,8," "," "," ",47.9433,37.5094
2016-03-10,Donetska,Marinskyi,Marinka_1423310100,1400000000,1423300000,1423310100," "," ",GCA,"Support Request"," ","Access to NFI","1. Wash powder (for washing machines) 2. Toilet soap 3. Household soap 4. Dishwashing liquid 5. Detergent for cleaning the dishes 6. Shampoo 7. Tooth paste 8. Wet napkins for  leaning the body 9. Diapers for adults 10. Disposable underpads for adults 11. Medicines for preventive care and treatment of bed sores (camphor spirit, hyperoxide, Chlorhexidine ointment, Argosulphanum)","The hygiene items are necessary for vulnerable people in Mariinka:  bedridden (approx. 20 individuals) and families with children up to 10 y.o (50 children).",Individuals,70,"United Nations OCHA","Water Sanitation Hygiene","United Nations OCHA",No,"Requested items delivered",0,resolved,2016-03-30,70," "," "," ",47.9433,37.5094
2016-03-31,Donetska,Yasynuvatskyi,Verkhnotoretske_1425555200,1400000000,1425500000,1425555200," "," ",GCA,"Mine Risk"," ","Presence of landmines and/or EWRs","Farming disturbed due to mines","Local villagers are afraid to visit their fields and pursue their daily routine because of mines.",Community,5,"OSCE Special Monitoring Mission",Protection,"United Nations OCHA",Yes," ",0,"Not addressed",2016-03-31,5," "," ","hoola hoop",48.2234,37.8685
